Nama Makanan,Kategori,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Protein (g),Lemak (g),Glycemic Risk
Nasi,Nasi,100,180,39.8,3,0.3,high
Nasi tim,Nasi,100,120,26,2.4,0.4,high
Bihun goreng instan,Lauk,100,381,80.3,6.1,3.9,
"Bihun Jagung, mentah",Lauk,100,354,87.4,0.5,0.3,high
"Jagung nasi, mentah",Lauk,100,357,79.5,8.8,0.5,low
"Jagung muda, rebus",Lauk,100,142,30.3,5,0.7,low
"Jagung kuning, tepung",Lauk,100,355,73.7,9.2,3.9,moderate
"Jagung kuning pipil, rebus",Lauk,100,154,28.4,3.8,3.5,moderate
"Jagung, tepung putih",Lauk,100,355,73.7,9.2,3.9,high
"Ketan putih, tapai",Lauk,100,172,37.5,3,0.5,high
"Maizena, tepung",Lauk,100,341,85,0.3,0,
"Makaroni, mentah",Lauk,100,353,78.7,8.7,0.4,low
Mi basah,Lauk,100,88,14,0.6,3.3,high
Mi kering,Lauk,100,339,6.3,10,1.7,high
Misoa,Lauk,100,345,78,8.5,2.2,
Roti putih,Lauk,100,248,50,8,1.2,high
Amparan tatak,Lauk,100,191,34,1.3,5.5,
"Apang kukus, kue",Lauk,100,202,46.7,3,0.3,
"Apem, kue",Snack,100,148,33.9,2,0.5,
Biskuit,Lauk,100,458,75.1,6.9,14.4,high
"Bakpia, kue",Snack,100,272,44.1,8.7,6.7,
Bakwan,Snack,100,280,39,8.2,10.2,
Bantal,Snack,100,190,43.5,3.3,0.3,
Baruasa,Snack,100,417,79.3,6.5,8.2,
Batar daan,Lauk,100,107,19.6,2.2,2.2,
Bika ambon,Snack,100,199,44.4,2.1,1.5,
Bingka,Snack,100,273,39.1,5.3,10.6,
Bobengka,Snack,100,225,45.2,5.3,2.6,
Bolu peca,Snack,100,197,35.6,3.3,4.6,
Brem,Snack,100,249,58,3.4,0.4,
Bubur tinotuan (Manado),Lauk,100,156,15.6,2.3,0.2,low
Cake tape,Lauk,100,323,50.1,4.9,11.5,
Cangkuning,Snack,100,204,31.4,2.8,7.5,
Dodol bali,Snack,100,298,65.9,3.7,2.1,
Dodol galamai,Snack,100,348,76.1,0.4,3.8,
Dodol kedondong,Snack,100,331,63.8,1.9,7.6,
Dodol manado,Snack,100,373,51.9,4.3,16.5,
Emping beras,Snack,100,403,85.3,10.6,2.2,
Gemblong,Snack,100,274,55.5,1.7,5.4,
Gendar goreng,Snack,100,407,32,6.4,28.2,
Intip goreng,Snack,100,474,62.3,7.6,21.6,
Jagung gerontol,Lauk,100,156,33.3,2.7,1.3,low
Jagung titi,Snack,100,374,79.1,9.4,2.2,low
Japilus,Snack,100,500,67.3,1.2,25.1,
Kakicak,Snack,100,296,36.7,3.4,15.1,
Kambose,Lauk,100,164,32.6,3,2.4,
Kapusa,Lauk,100,158,27.8,4.4,3.2,
Keddo bodong,Snack,100,290,55.2,4.6,5.7,
"Kelepon, kue",Snack,100,215,41.8,3.7,3.7,
Kereput,Snack,100,580,51.1,4.8,39.6,
Ketoprak,Lauk,100,153,13,7.9,7.7,
Ketupat kandangan,Lauk,100,109,13.4,2.2,5.2,
Koya,,100,366,77.5,4.2,4.3,
Koya mirasa,,100,370,82.2,8,1,
Koyabu,Snack,100,241,47.2,3.4,4.3,
Kue ali,Snack,100,440,64.5,3.8,18.5,
Kue bangen,Snack,100,442,74.2,3.3,14.7,
Kue gelang,Snack,100,448,70,5.8,16.1,
Kue jahe,Snack,100,425,84.6,1.6,8.8,
Kue kelapa,Snack,100,591,47.5,5.6,42.1,
Kue koa,Snack,100,340,79.3,4.8,0.4,
Kue ku temu,Snack,100,214,49.6,3.5,0.2,
Kue lumpur,Snack,100,291,44.1,3.6,11.1,
Kue pelita,Snack,100,141,17.6,5.3,5.5,
Kue putu cangkir,Snack,100,304,54.9,5.3,7,
Kue sus,Snack,100,221,24.8,7.5,10.2,
Kue thipan,Snack,100,247,49.5,2.9,4.2,
Laksa/Putu mayang,Snack,100,121,21.1,1.7,3.4,
Lapis legit,Snack,100,389,55.5,6.6,15.7,
Lupis ketan,Snack,100,164,34.5,1.8,2.1,high
Manan samin,Snack,100,379,50.6,3.4,18.1,
Martabak india,Lauk,100,153,24.3,4.5,4.2,
Martabak mesir,Lauk,100,278,45,5.1,8.6,
Masekat,Snack,100,369,74.1,2.1,7,
Mie aceh rebus,Lauk,100,113,18.1,3,3.2,
Mie ayam,Lauk,100,102,10.5,6.2,3.9,
Mie bakso,Lauk,100,114,16.4,5.3,3,
Mie celon,Lauk,100,102,17.8,3,2.1,
Mie pangsit basah,Lauk,100,105,9.4,5.9,4.9,
Nasi gemuk,Lauk,100,192,24.4,3.8,8.8,high
onde onde,Snack,100,,,,,
Nasi gurih,Lauk,100,190,26,4.7,7.5,high
Nasi minyak,Lauk,100,207,37.1,3.5,5,high
Nasi rames,Lauk,100,155,19.1,10.3,4.2,high
Nopia spesial,Snack,100,387,74.3,5.3,7.6,
Onde-onde,Snack,100,336,57.9,4,9.8,
Padamaran,Snack,100,171,18.8,3.9,8.9,
Pastel,Snack,100,307,42.4,4.5,13.3,
Pulut,Snack / Lauk,100,216,44.4,2.6,3.1,
Pundut nasi,Lauk,100,104,15.1,1.9,4.1,high
Putri hijau,Snack,100,189,37.2,5.4,2.1,
Putri selat,Snack,100,163,23.8,2.2,6.5,
Putu sopa,Snack,100,215,41.1,3.3,4.1,
Renggi goreng,Snack,100,471,64.1,4.7,21.8,
Roti warna sawo matang,Snack,100,249,49.7,7.9,1.5,
Sarimuka,Snack,100,166,32.9,2.3,2.8,
Spaghetti,Lauk,100,139,22.6,7.4,2.1,
Srikaya ketan,Snack,100,265,49.1,2.7,6.4,high
Sunduk lawang,Snack,100,181,32.4,1.9,1.3,
Suwir-suwir,Snack,100,347,84.2,0.5,0.9,
Tipa-tipa,Snack,100,355,79.8,6.2,1.2,
Wajit camilan,Snack,100,303,63.3,6.3,2.7,
Widaran,Snack,100,424,80.7,1.3,10.7,
Wingko babat,Sanck,100,355,51.4,3.2,15.1,
Yangko,Snack,100,254,58.1,3,1.1,
"Arrowroot, segar",Lauk,100,102,24.1,1,0.2,
"Batatas gembili, segar",Lauk,100,76,16,1.1,0.9,
"Batatas kelapa, ubi, segar",Lauk,100,89,21,1.1,0.1,
