Nama Makanan,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Lemak (g),Protein (g)
Nasi Putih,100 g,129.0,27.9,0.28,2.66
"Nasi Putih (Butir-Sedang, Dimasak)",100 g,130.0,28.59,0.21,2.38
Rice,100 g,125.82,27.97,0.14,3.19
Rice,100 g,122.54,27.75,0.0,2.89
Nasi Goreng,100 g,168.0,21.06,6.23,6.3
Nasi Merah,100 g,110.0,22.78,0.89,2.56
Nasi Padang,100 g,174.74,18.42,3.95,18.42
"Nasi Putih (Butir-Pendek, Dimasak)",100 g,130.0,28.73,0.19,2.36
Nasi,100 g,70.0,18.0,0.0,1.0
Nasi Liwet,100 g,138.0,25.94,2.72,2.74
"Nasi Putih (Butir-Panjang, Dimasak)",100 g,130.0,28.17,0.28,2.69
Nasi Jagung,100 g,150.0,26.14,3.99,2.67
Nasi Basmati,100 g,121.0,25.22,0.38,3.54
Nasi Uduk,100 g,83.0,55.0,35.0,25.0
Nasi Kebuli,100 g,159.0,20.7,6.33,4.87
Bubur Pedas,100 g,81.0,12.09,2.13,3.96
Nasi Daun Jeruk,100 g,183.0,33.83,3.55,3.16
Ketupat,100 g,160.0,30.36,2.42,3.27
Nasi Pecel,100 g,230.0,31.74,9.33,6.58
"Nasi Merah (Butir-Sedang, Dimasak)",100 g,112.0,23.51,0.83,2.32
Bubur Nasi,100 g,72.0,15.26,0.54,1.5
Nasi Ketan (Ketan),100 g,97.0,21.09,0.19,2.02
Multi Grain Mix,100 g,400.0,76.0,4.0,12.0
Nasi Goreng Cina,100 g,151.0,18.95,5.61,5.67
Nasi Tiwul,100 g,147.0,35.08,0.26,1.25
Beras Hitam,100 g,235.29,50.59,2.35,7.06
Nasi Merah,100 g,110.0,22.78,0.89,2.56
Ready Meal Chicken Popbites Sambal Matah,100 g,187.5,25.94,6.25,7.19
Iwel Iwel,100 g,226.0,40.0,6.08,3.13
Nasi Uduk Komplit,100 g,136.0,14.0,3.43,12.29
Nasi Goreng tanpa Daging,100 g,151.0,20.97,5.48,4.23
Beras Putih,100 g,361.0,79.48,0.59,6.75
Nasi Samin,100 g,207.0,36.72,5.36,4.47
Nasi Hitam,100 g,260.0,50.59,2.9,7.87
Shirataki Rice,100 g,11.76,3.53,0.0,1.18
Nasi Ayam Betutu Sambal Matah,100 g,196.0,24.0,7.6,7.6
Nasi Goreng,100 g,168.0,21.06,6.23,6.3
Brondong Ketan,100 g,380.0,86.0,1.5,6.0
Beef & Teriyaki Chicken Combo (Large),100 g,148.75,18.88,4.5,8.38
Japanese Teriyaki Bento,100 g,126.67,17.67,4.0,4.67
Nasi Ayam Woku,100 g,160.0,24.4,2.4,9.6
Ronde,100 g,308.0,68.39,0.45,5.57
Ayam Saus Padang with Nasi Lemak,100 g,464.0,47.0,12.0,42.0
Nasi Coklat,100 g,116.0,24.51,0.73,2.47
Beef Bowl (Large),100 g,170.49,21.48,6.23,7.05
Basmati Rice Spaghetti,100 g,362.5,82.32,0.54,6.79
Fukumi Mentah,100 g,350.0,80.0,0.0,7.5
Rice Vermicelli Thai Tom Yum,100 g,200.0,36.0,4.0,4.0
Beef Bowl (Regular),100 g,162.62,19.29,6.43,7.14
Hoka Hemat 3,100 g,103.25,11.75,3.75,5.0
Perencah Nasi Goreng,100 g,233.33,33.33,6.67,6.67
Kari Jepang,100 g,153.0,25.55,4.23,5.14
Beras Merah,100 g,340.0,73.0,1.0,10.0
Original Beef Bowl with Veggies,100 g,113.25,16.45,2.99,4.49
Sumpia Udang Pedas,100 g,500.0,60.0,22.5,10.0
Rice Mix BBQ,100 g,600.0,0.0,70.0,0.0
Value Set,100 g,670.0,68.5,30.2,28.2
Rasa Ayam,100 g,422.22,71.11,11.11,6.67
Bubur Sapi,100 g,24.0,2.4,0.0,3.2
Mie,100 g,137.0,25.01,2.06,4.51
"Mie Telur (Ditambah, Masak)",100 g,138.0,25.16,2.07,4.54
Mi Goreng,100 g,475.0,61.25,21.25,9.0
Rasa Ayam Bawang,100 g,434.78,62.32,15.94,10.14
Bakmi,100 g,169.0,25.06,4.88,6.34
Mee Goreng,100 g,169.0,20.6,6.16,7.83
Mie Goreng,100 g,477.78,63.33,21.11,10.0
Rasa Soto Mie,100 g,428.57,65.71,14.29,10.0
Mie Jebew,100 g,208.0,25.06,10.12,5.36
Mie Telur Urai,100 g,364.29,73.57,1.43,15.0
Mie Telur Kering,100 g,384.0,71.27,4.44,14.16
Mie Aceh,100 g,116.0,17.96,3.58,3.34
Bihun Panjang,100 g,84.0,20.66,0.01,0.04
CAP 3 Ayam,100 g,358.21,76.12,0.0,10.45
Mie Glosor,100 g,72.0,15.71,0.86,0.27
Mie Tek Tek,100 g,300.0,10.0,12.0,34.0
Kwetiau,100 g,175.0,23.76,6.37,5.05
Mi Goreng Pedas,100 g,455.7,65.82,16.46,10.13
Bihun Goreng,100 g,152.0,18.26,5.68,5.91
Mie Urai,100 g,364.29,73.57,1.43,15.0
Mie Goreng,100 g,466.67,63.33,20.0,8.33
Gekikara Ramen Rasa Pedas,100 g,458.72,66.06,16.51,10.09
Rasa Soto,100 g,418.18,70.91,10.91,9.09
Japchae,100 g,369.0,75.22,6.21,0.67
Mie Rebus,100 g,434.78,62.32,15.94,10.14
Korean Spicy Chicken,100 g,448.28,66.67,16.09,9.2
Bakmi Mewah Rasa,100 g,460.0,64.0,20.0,10.0
Mi Goreng Rasa Rendang,100 g,461.54,64.84,17.58,9.89
Mi Instan Rasa Mi Goreng,100 g,400.0,67.69,9.23,10.77
Mie Gelas Rasa Ayam Bawang,100 g,400.0,60.0,20.0,10.0
Soto Banjar,100 g,449.28,62.32,18.84,10.14
Omelet Mie,100 g,138.0,24.43,2.03,4.48
Mie Kremezz Shake & Shorr,100 g,466.67,66.67,20.0,6.67
Mie Sedaap Cup Goreng,100 g,482.35,62.35,22.35,8.24
Mi Instan Rasa Kari Ayam,100 g,410.96,73.97,6.85,10.96
Mie Sagu,100 g,190.0,46.41,0.34,0.22
Mie Lidi Coklat,100 g,444.44,71.11,13.33,11.11
Veggie Noodle Tomato,100 g,360.0,70.67,4.67,9.33
Mie,100 g,367.0,88.33,0.0,0.0
Mie Instan Cup Kari Ayam,100 g,466.67,58.33,21.67,11.67
Bihunku Seduh Rasa Kaldu Ayam,100 g,333.33,75.0,0.0,4.17
Mie Goreng Jumbo,100 g,465.12,61.24,20.16,9.3
Mi Goreng Original,100 g,120.0,24.0,3.33,0.0
Tasty Bakmi Ayam Geprek Matah,100 g,459.68,65.32,16.94,11.29
Mi Goreng Rasa Soto,100 g,470.59,62.35,21.18,9.41
Mie Instan Kuah Alami Rasa Ayam Bawang,100 g,383.33,65.0,8.33,11.67
Mie,100 g,444.44,63.89,16.67,9.72
Mi Hokkien,100 g,170.0,17.57,6.12,10.39
Kari Ayam,100 g,444.44,62.5,16.67,9.72
Mie Lethek,100 g,164.0,24.12,4.62,5.95
Samyang Cheese,100 g,414.29,67.14,12.86,8.57
Green Barley Noodle Vegetable SOUP,100 g,360.0,65.33,2.67,18.67
Organic Noodle Spinach,100 g,375.0,75.0,2.5,12.5
Mie Goreng Rasa Ayam,100 g,386.67,70.67,6.67,10.67
Fitmee Soto,100 g,65.22,10.87,2.17,0.0
