Nama Makanan,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Lemak (g),Protein (g)
nasi putih,100 g,129,27.9,0.28,2.66
nasi putih butirsedang dimasak,100 g,130,28.59,0.21,2.38
rice,100 g,125.82,27.97,0.14,3.19
nasi goreng,100 g,168,21.06,6.23,6.3
nasi merah,100 g,110,22.78,0.89,2.56
nasi padang,100 g,174.74,18.42,3.95,18.42
nasi putih butirpendek dimasak,100 g,130,28.73,0.19,2.36
nasi,100 g,70,18,0,1
nasi liwet,100 g,138,25.94,2.72,2.74
nasi putih butirpanjang dimasak,100 g,130,28.17,0.28,2.69
nasi jagung,100 g,150,26.14,3.99,2.67
nasi basmati,100 g,121,25.22,0.38,3.54
nasi uduk,100 g,83,55,35,25
nasi kebuli,100 g,159,20.7,6.33,4.87
bubur pedas,100 g,81,12.09,2.13,3.96
nasi daun jeruk,100 g,183,33.83,3.55,3.16
ketupat,100 g,160,30.36,2.42,3.27
nasi pecel,100 g,230,31.74,9.33,6.58
nasi merah butirsedang dimasak,100 g,112,23.51,0.83,2.32
bubur nasi,100 g,72,15.26,0.54,1.5
nasi ketan ketan,100 g,97,21.09,0.19,2.02
multi grain mix,100 g,400,76,4,12
nasi goreng cina,100 g,151,18.95,5.61,5.67
nasi tiwul,100 g,147,35.08,0.26,1.25
beras hitam,100 g,235.29,50.59,2.35,7.06
ready meal chicken popbites sambal matah,100 g,187.5,25.94,6.25,7.19
iwel iwel,100 g,226,40,6.08,3.13
nasi uduk komplit,100 g,136,14,3.43,12.29
nasi goreng tanpa daging,100 g,151,20.97,5.48,4.23
beras putih,100 g,361,79.48,0.59,6.75
nasi samin,100 g,207,36.72,5.36,4.47
nasi hitam,100 g,260,50.59,2.9,7.87
shirataki rice,100 g,11.76,3.53,0,1.18
nasi ayam betutu sambal matah,100 g,196,24,7.6,7.6
brondong ketan,100 g,380,86,1.5,6
beef teriyaki chicken combo large,100 g,148.75,18.88,4.5,8.38
japanese teriyaki bento,100 g,126.67,17.67,4,4.67
nasi ayam woku,100 g,160,24.4,2.4,9.6
ronde,100 g,308,68.39,0.45,5.57
ayam saus padang with nasi lemak,100 g,464,47,12,42
nasi coklat,100 g,116,24.51,0.73,2.47
beef bowl large,100 g,170.49,21.48,6.23,7.05
basmati rice spaghetti,100 g,362.5,82.32,0.54,6.79
fukumi mentah,100 g,350,80,0,7.5
rice vermicelli thai tom yum,100 g,200,36,4,4
beef bowl regular,100 g,162.62,19.29,6.43,7.14
hoka hemat,100 g,103.25,11.75,3.75,5
perencah nasi goreng,100 g,233.33,33.33,6.67,6.67
kari jepang,100 g,153,25.55,4.23,5.14
beras merah,100 g,340,73,1,10
original beef bowl with veggies,100 g,113.25,16.45,2.99,4.49
sumpia udang pedas,100 g,500,60,22.5,10
rice mix bbq,100 g,600,0,70,0
value set,100 g,670,68.5,30.2,28.2
rasa ayam,100 g,422.22,71.11,11.11,6.67
bubur sapi,100 g,24,2.4,0,3.2
mie,100 g,137,25.01,2.06,4.51
mie telur ditambah masak,100 g,138,25.16,2.07,4.54
mi goreng,100 g,475,61.25,21.25,9
