Nama Makanan,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Lemak (g),Protein (g),Kategori,is_seafood,is_peanut,is_dairy,protein_to_calorie_ratio,is_low_calorie,is_low_fat,is_low_carb,is_high_carb,is_high_protein,Kalori (kkal)_scaled,Karbohidrat (g)_scaled,Lemak (g)_scaled,Protein (g)_scaled,protein_to_calorie_ratio_scaled
Keripik Kentang,100 g,448,67.1,18.8,2.7,Snack,0,0,0,0.006026786,0,0,0,0,0,1.209615195,1.332573715,0.981910752,-0.893346741,-1.302271466
Geblek,100 g,195,44.4,1.7,0.4,Masakan,0,0,0,0.002051282,0,1,0,1,0,-0.077094303,0.871058294,-0.800944743,-1.692286326,-1.490635106
Getuk Singkong,100 g,204,47.4,1.4,0.5,Masakan,0,0,0,0.00245098,0,1,0,1,0,-0.015851687,0.940618396,-0.901647138,-1.641015389,-1.471198788
Gurandil,100 g,218,48.5,2.5,0.5,Masakan,0,0,0,0.002293578,0,1,0,1,0,0.075890228,0.965331154,-0.577264696,-1.641015389,-1.478839316
Kapurung,100 g,41,7.8,0.3,2,Masakan,0,0,0,0.048780488,1,1,1,1,0,-1.721685166,-0.561446513,-1.417706418,-1.08045143,0.167693418
Kecimpring Singkong Goreng,100 g,464,73,18.6,1.2,Masakan,0,0,0,0.002586207,0,0,0,1,0,1.271896898,1.433462531,0.972434819,-1.341844649,-1.464648732
Keremes,100 g,475,64.4,25.2,1.6,Masakan,0,0,0,0.003368421,0,0,0,0,0,1.313877456,1.284254459,1.24496,-1.203266726,-1.427012999
Keripik Gadung,100 g,446,76,14.5,2.8,Snack,0,0,0,0.006278027,0,0,0,1,0,1.201724749,1.482512491,0.754528036,-0.86893127,-1.290730257
Gatot,100 g,347,83.8,0.7,1.3,Masakan,0,0,0,0.003746398,0,1,0,1,0,0.776907832,1.603791136,-1.193572707,-1.305464793,-1.408980393
Keripik Singkong,100 g,478,72,20.7,0.9,Snack,0,0,0,0.001882845,0,0,0,1,0,1.325212375,1.416788625,1.067622722,-1.459342228,-1.498859843
Keripik Singkong Berbumbu,100 g,481,73.6,19.7,2.2,Snack,0,0,0,0.004573805,0,0,0,1,0,1.336499272,1.44338769,1.02344935,-1.023787109,-1.36985177
